,bathroomcnt,bedroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,fips
0,2.0,3.0,1458.0,136104.0,6037.0
1,1.0,2.0,1421.0,35606.0,6037.0
2,3.0,4.0,2541.0,880456.0,6059.0
3,2.0,3.0,1650.0,614000.0,6037.0
4,1.0,2.0,693.0,274237.0,6037.0
5,0.0,0.0,1378.0,168828.0,6037.0
6,2.0,2.0,1144.0,239109.0,6111.0
7,1.0,1.0,812.0,245906.0,6037.0
8,2.0,3.0,1668.0,196483.0,6059.0
9,2.5,3.0,1653.0,605000.0,6059.0
10,1.0,3.0,879.0,141875.0,6059.0
11,2.0,3.0,1108.0,486866.0,6037.0
12,2.0,3.0,1947.0,388478.0,6037.0
13,1.0,2.0,1061.0,31839.0,6037.0
14,2.0,3.0,1632.0,499402.0,6037.0
15,3.0,3.0,2768.0,151340.0,6037.0
16,3.0,3.0,2392.0,845708.0,6037.0
17,2.0,2.0,1204.0,284000.0,6037.0
18,2.0,3.0,1088.0,130679.0,6037.0
19,2.0,3.0,1191.0,164685.0,6037.0
20,2.0,3.0,1358.0,168626.0,6037.0
21,3.0,4.0,2291.0,397616.0,6037.0
22,2.0,3.0,1050.0,259334.0,6037.0
23,2.0,4.0,1485.0,63338.0,6059.0
24,2.0,3.0,1569.0,73054.0,6037.0
25,2.0,3.0,1285.0,82374.0,6037.0
26,1.0,3.0,1260.0,466127.0,6037.0
27,1.0,3.0,1102.0,206623.0,6037.0
28,3.0,3.0,1572.0,404060.0,6037.0
29,3.0,4.0,3041.0,245311.0,6037.0
30,2.0,3.0,1692.0,649169.0,6037.0
31,2.0,4.0,1611.0,89640.0,6037.0
32,2.0,2.0,1078.0,124006.0,6037.0
33,2.0,3.0,1476.0,58143.0,6037.0
34,2.5,3.0,1410.0,343272.0,6111.0
35,1.0,2.0,1387.0,280967.0,6059.0
36,2.0,3.0,1426.0,364081.0,6059.0
37,3.0,3.0,1732.0,174459.0,6037.0
38,2.0,4.0,1622.0,300777.0,6037.0
39,1.5,3.0,1122.0,199838.0,6059.0
40,2.0,1.0,1100.0,841548.0,6037.0
41,2.5,2.0,1302.0,465000.0,6059.0
42,3.0,3.0,1540.0,510686.0,6037.0
43,4.0,6.0,3558.0,336440.0,6037.0
44,2.0,2.0,1152.0,201431.0,6059.0
45,1.5,3.0,1125.0,84341.0,6059.0
46,3.0,4.0,1733.0,446709.0,6037.0
47,3.5,4.0,3137.0,600238.0,6059.0
48,2.5,5.0,2531.0,122618.0,6059.0
49,3.0,3.0,1592.0,667918.0,6037.0
50,1.0,3.0,1448.0,352291.0,6037.0
51,2.0,4.0,1560.0,311209.0,6059.0
52,2.0,4.0,1344.0,85677.0,6037.0
53,1.0,3.0,1122.0,444000.0,6037.0
54,2.0,2.0,1445.0,529000.0,6037.0
55,3.5,4.0,3259.0,901542.0,6059.0
56,6.0,5.0,3540.0,8000000.0,6037.0
57,1.0,3.0,1335.0,63192.0,6059.0
58,2.0,4.0,1914.0,414743.0,6059.0
59,4.0,3.0,3324.0,709615.0,6059.0
60,3.0,4.0,2610.0,710674.0,6037.0
61,2.5,3.0,1260.0,311979.0,6059.0
62,1.0,1.0,755.0,340000.0,6059.0
63,1.0,2.0,987.0,357144.0,6059.0
64,3.0,2.0,1899.0,1440000.0,6037.0
65,1.0,2.0,1114.0,524529.0,6059.0
